panel,beta,density
gamma1_watch,-0.003648,3.194
gamma1_watch,-0.003645,3.194
gamma1_watch,-0.003642,3.194
gamma1_watch,-0.003639,3.194
gamma1_watch,-0.003636,3.194
gamma1_watch,-0.003632,3.194
gamma1_watch,-0.003629,3.194
gamma1_watch,-0.003626,3.194
gamma1_watch,-0.003623,3.194
gamma1_watch,-0.003620,3.194
gamma1_watch,-0.003616,3.194
gamma1_watch,-0.003613,3.194
gamma1_watch,-0.003610,3.194
gamma1_watch,-0.003607,3.194
gamma1_watch,-0.003603,3.194
gamma1_watch,-0.003600,3.194
gamma1_watch,-0.003597,3.194
gamma1_watch,-0.003594,3.194
gamma1_watch,-0.003591,3.194
gamma1_watch,-0.003587,3.194
gamma1_watch,-0.003584,3.194
gamma1_watch,-0.003581,3.194
gamma1_watch,-0.003578,3.194
gamma1_watch,-0.003575,3.194
gamma1_watch,-0.003571,3.194
gamma1_watch,-0.003568,3.194
gamma1_watch,-0.003565,3.194
gamma1_watch,-0.003562,3.194
gamma1_watch,-0.003558,3.194
gamma1_watch,-0.003555,3.194
gamma1_watch,-0.003552,3.194
gamma1_watch,-0.003549,3.194
gamma1_watch,-0.003546,3.194
gamma1_watch,-0.003542,3.194
gamma1_watch,-0.003539,3.194
gamma1_watch,-0.003536,3.194
gamma1_watch,-0.003533,3.194
gamma1_watch,-0.003530,3.194
gamma1_watch,-0.003526,3.194
gamma1_watch,-0.003523,3.194
gamma1_watch,-0.003520,3.194
gamma1_watch,-0.003517,3.194
gamma1_watch,-0.003513,3.194
gamma1_watch,-0.003510,3.194
gamma1_watch,-0.003507,3.194
gamma1_watch,-0.003504,3.194
gamma1_watch,-0.003501,3.194
gamma1_watch,-0.003497,3.194
gamma1_watch,-0.003494,3.194
gamma1_watch,-0.003491,3.194
gamma1_watch,-0.003488,3.194
gamma1_watch,-0.003485,3.194
gamma1_watch,-0.003481,3.194
gamma1_watch,-0.003478,3.194
gamma1_watch,-0.003475,3.194
gamma1_watch,-0.003472,3.194
gamma1_watch,-0.003468,3.194
gamma1_watch,-0.003465,3.194
gamma1_watch,-0.003462,3.194
gamma1_watch,-0.003459,3.194
gamma1_watch,-0.003456,3.194
gamma1_watch,-0.003452,3.194
gamma1_watch,-0.003449,3.194
gamma1_watch,-0.003446,3.194
gamma1_watch,-0.003443,3.194
gamma1_watch,-0.003439,3.194
gamma1_watch,-0.003436,3.194
gamma1_watch,-0.003433,3.194
gamma1_watch,-0.003430,3.194
gamma1_watch,-0.003427,3.194
gamma1_watch,-0.003423,3.194
gamma1_watch,-0.003420,3.194
gamma1_watch,-0.003417,3.194
gamma1_watch,-0.003414,3.194
gamma1_watch,-0.003411,3.194
gamma1_watch,-0.003407,3.194
gamma1_watch,-0.003404,3.194
gamma1_watch,-0.003401,3.194
gamma1_watch,-0.003398,3.194
gamma1_watch,-0.003394,3.194
gamma1_watch,-0.003391,3.194
gamma1_watch,-0.003388,3.194
gamma1_watch,-0.003385,3.194
gamma1_watch,-0.003382,3.194
gamma1_watch,-0.003378,3.194
gamma1_watch,-0.003375,3.194
gamma1_watch,-0.003372,3.360
gamma1_watch,-0.003369,3.360
gamma1_watch,-0.003366,3.360
gamma1_watch,-0.003362,3.360
gamma1_watch,-0.003359,3.360
gamma1_watch,-0.003356,3.360
gamma1_watch,-0.003353,3.360
gamma1_watch,-0.003349,3.360
gamma1_watch,-0.003346,3.360
gamma1_watch,-0.003343,3.360
gamma1_watch,-0.003340,3.360
gamma1_watch,-0.003337,3.360
gamma1_watch,-0.003333,3.360
gamma1_watch,-0.003330,3.360
gamma1_watch,-0.003327,3.360
gamma1_watch,-0.003324,3.360
gamma1_watch,-0.003321,3.360
gamma1_watch,-0.003317,3.360
gamma1_watch,-0.003314,3.360
gamma1_watch,-0.003311,3.360
gamma1_watch,-0.003308,3.360
gamma1_watch,-0.003304,3.360
gamma1_watch,-0.003301,3.360
gamma1_watch,-0.003298,3.360
gamma1_watch,-0.003295,3.360
gamma1_watch,-0.003292,3.360
gamma1_watch,-0.003288,3.360
gamma1_watch,-0.003285,3.360
gamma1_watch,-0.003282,3.360
gamma1_watch,-0.003279,3.360
gamma1_watch,-0.003276,3.360
gamma1_watch,-0.003272,3.360
gamma1_watch,-0.003269,3.360
gamma1_watch,-0.003266,3.360
gamma1_watch,-0.003263,3.360
gamma1_watch,-0.003259,3.360
gamma1_watch,-0.003256,3.360
gamma1_watch,-0.003253,3.360
gamma1_watch,-0.003250,3.360
gamma1_watch,-0.003247,3.360
gamma1_watch,-0.003243,3.360
gamma1_watch,-0.003240,3.360
gamma1_watch,-0.003237,3.360
gamma1_watch,-0.003234,3.360
gamma1_watch,-0.003231,3.360
gamma1_watch,-0.003227,3.360
gamma1_watch,-0.003224,3.360
gamma1_watch,-0.003221,3.360
gamma1_watch,-0.003218,3.360
gamma1_watch,-0.003214,3.360
gamma1_watch,-0.003211,3.360
gamma1_watch,-0.003208,3.360
gamma1_watch,-0.003205,3.360
gamma1_watch,-0.003202,3.360
gamma1_watch,-0.003198,3.360
gamma1_watch,-0.003195,3.360
gamma1_watch,-0.003192,3.360
gamma1_watch,-0.003189,3.360
gamma1_watch,-0.003186,3.360
gamma1_watch,-0.003182,3.360
gamma1_watch,-0.003179,3.360
gamma1_watch,-0.003176,3.360
gamma1_watch,-0.003173,3.360
gamma1_watch,-0.003169,3.360
gamma1_watch,-0.003166,3.360
gamma1_watch,-0.003163,3.360
gamma1_watch,-0.003160,3.360
gamma1_watch,-0.003157,3.360
gamma1_watch,-0.003153,3.360
gamma1_watch,-0.003150,3.360
gamma1_watch,-0.003147,3.360
gamma1_watch,-0.003144,3.360
gamma1_watch,-0.003141,3.360
gamma1_watch,-0.003137,3.360
gamma1_watch,-0.003134,3.360
gamma1_watch,-0.003131,3.360
gamma1_watch,-0.003128,3.360
gamma1_watch,-0.003124,3.360
gamma1_watch,-0.003121,3.360
gamma1_watch,-0.003118,3.360
gamma1_watch,-0.003115,3.360
gamma1_watch,-0.003112,3.360
gamma1_watch,-0.003108,3.360
gamma1_watch,-0.003105,3.360
gamma1_watch,-0.003102,3.360
gamma1_watch,-0.003099,3.526
gamma1_watch,-0.003096,3.526
gamma1_watch,-0.003092,3.526
gamma1_watch,-0.003089,3.526
gamma1_watch,-0.003086,3.526
gamma1_watch,-0.003083,3.526
gamma1_watch,-0.003079,3.526
gamma1_watch,-0.003076,3.526
gamma1_watch,-0.003073,3.526
gamma1_watch,-0.003070,3.526
gamma1_watch,-0.003067,3.526
gamma1_watch,-0.003063,3.526
gamma1_watch,-0.003060,3.526
gamma1_watch,-0.003057,3.526
gamma1_watch,-0.003054,3.526
gamma1_watch,-0.003051,3.526
gamma1_watch,-0.003047,3.526
gamma1_watch,-0.003044,3.526
gamma1_watch,-0.003041,3.526
gamma1_watch,-0.003038,3.526
gamma1_watch,-0.003034,3.526
gamma1_watch,-0.003031,3.526
gamma1_watch,-0.003028,3.526
gamma1_watch,-0.003025,3.526
gamma1_watch,-0.003022,3.526
gamma1_watch,-0.003018,3.526
gamma1_watch,-0.003015,3.526
gamma1_watch,-0.003012,3.526
gamma1_watch,-0.003009,3.526
gamma1_watch,-0.003006,3.526
gamma1_watch,-0.003002,3.526
gamma1_watch,-0.002999,3.526
gamma1_watch,-0.002996,3.526
gamma1_watch,-0.002993,3.526
gamma1_watch,-0.002989,3.526
gamma1_watch,-0.002986,3.526
gamma1_watch,-0.002983,3.526
gamma1_watch,-0.002980,3.526
gamma1_watch,-0.002977,3.526
gamma1_watch,-0.002973,3.526
gamma1_watch,-0.002970,3.526
gamma1_watch,-0.002967,3.526
gamma1_watch,-0.002964,3.526
gamma1_watch,-0.002961,3.693
gamma1_watch,-0.002957,3.693
gamma1_watch,-0.002954,3.693
gamma1_watch,-0.002951,3.693
gamma1_watch,-0.002948,3.693
gamma1_watch,-0.002944,3.693
gamma1_watch,-0.002941,3.693
gamma1_watch,-0.002938,3.693
gamma1_watch,-0.002935,3.693
gamma1_watch,-0.002932,3.693
gamma1_watch,-0.002928,3.693
gamma1_watch,-0.002925,3.693
gamma1_watch,-0.002922,3.693
gamma1_watch,-0.002919,3.693
gamma1_watch,-0.002915,3.693
gamma1_watch,-0.002912,3.693
gamma1_watch,-0.002909,3.693
gamma1_watch,-0.002906,3.693
gamma1_watch,-0.002903,3.693
gamma1_watch,-0.002899,3.693
gamma1_watch,-0.002896,3.693
gamma1_watch,-0.002893,3.693
gamma1_watch,-0.002890,3.693
gamma1_watch,-0.002887,3.693
gamma1_watch,-0.002883,3.693
gamma1_watch,-0.002880,3.693
gamma1_watch,-0.002877,3.693
gamma1_watch,-0.002874,3.859
gamma1_watch,-0.002870,3.859
gamma1_watch,-0.002867,3.859
gamma1_watch,-0.002864,3.859
gamma1_watch,-0.002861,3.859
gamma1_watch,-0.002858,3.859
gamma1_watch,-0.002854,3.859
gamma1_watch,-0.002851,3.859
gamma1_watch,-0.002848,3.859
gamma1_watch,-0.002845,3.859
gamma1_watch,-0.002842,3.859
gamma1_watch,-0.002838,3.859
gamma1_watch,-0.002835,3.859
gamma1_watch,-0.002832,3.859
gamma1_watch,-0.002829,3.859
gamma1_watch,-0.002825,3.859
gamma1_watch,-0.002822,3.859
gamma1_watch,-0.002819,3.859
gamma1_watch,-0.002816,4.025
gamma1_watch,-0.002813,4.025
gamma1_watch,-0.002809,4.025
gamma1_watch,-0.002806,4.025
gamma1_watch,-0.002803,4.025
gamma1_watch,-0.002800,4.025
gamma1_watch,-0.002797,4.025
gamma1_watch,-0.002793,4.025
gamma1_watch,-0.002790,4.025
gamma1_watch,-0.002787,4.025
gamma1_watch,-0.002784,4.025
gamma1_watch,-0.002780,4.025
gamma1_watch,-0.002777,4.025
gamma1_watch,-0.002774,4.025
gamma1_watch,-0.002771,4.192
gamma1_watch,-0.002768,4.192
gamma1_watch,-0.002764,4.192
gamma1_watch,-0.002761,4.192
gamma1_watch,-0.002758,4.025
gamma1_watch,-0.002755,4.192
gamma1_watch,-0.002752,4.192
gamma1_watch,-0.002748,4.192
gamma1_watch,-0.002745,4.192
gamma1_watch,-0.002742,4.192
gamma1_watch,-0.002739,4.192
gamma1_watch,-0.002735,4.358
gamma1_watch,-0.002732,4.358
gamma1_watch,-0.002729,4.358
gamma1_watch,-0.002726,4.358
gamma1_watch,-0.002723,4.358
gamma1_watch,-0.002719,4.358
gamma1_watch,-0.002716,4.358
gamma1_watch,-0.002713,4.358
gamma1_watch,-0.002710,4.358
gamma1_watch,-0.002707,4.358
gamma1_watch,-0.002703,4.524
gamma1_watch,-0.002700,4.524
gamma1_watch,-0.002697,4.524
gamma1_watch,-0.002694,4.524
gamma1_watch,-0.002690,4.524
gamma1_watch,-0.002687,4.524
gamma1_watch,-0.002684,4.524
gamma1_watch,-0.002681,4.524
gamma1_watch,-0.002678,4.524
gamma1_watch,-0.002674,4.524
gamma1_watch,-0.002671,4.524
gamma1_watch,-0.002668,4.524
gamma1_watch,-0.002665,4.524
gamma1_watch,-0.002662,4.524
gamma1_watch,-0.002658,4.524
gamma1_watch,-0.002655,4.524
gamma1_watch,-0.002652,4.524
gamma1_watch,-0.002649,4.524
gamma1_watch,-0.002645,4.524
gamma1_watch,-0.002642,4.524
gamma1_watch,-0.002639,4.524
gamma1_watch,-0.002636,4.524
gamma1_watch,-0.002633,4.524
gamma1_watch,-0.002629,4.524
gamma1_watch,-0.002626,4.524
gamma1_watch,-0.002623,4.524
gamma1_watch,-0.002620,4.524
gamma1_watch,-0.002617,4.524
gamma1_watch,-0.002613,4.524
gamma1_watch,-0.002610,4.524
gamma1_watch,-0.002607,4.524
gamma1_watch,-0.002604,4.524
gamma1_watch,-0.002600,4.524
gamma1_watch,-0.002597,4.524
gamma1_watch,-0.002594,4.524
gamma1_watch,-0.002591,4.524
gamma1_watch,-0.002588,4.524
gamma1_watch,-0.002584,4.524
gamma1_watch,-0.002581,4.524
gamma1_watch,-0.002578,4.524
gamma1_watch,-0.002575,4.524
gamma1_watch,-0.002572,4.524
gamma1_watch,-0.002568,4.524
gamma1_watch,-0.002565,4.524
gamma1_watch,-0.002562,4.524
gamma1_watch,-0.002559,4.524
gamma1_watch,-0.002555,4.524
gamma1_watch,-0.002552,4.524
gamma1_watch,-0.002549,4.524
gamma1_watch,-0.002546,4.524
gamma1_watch,-0.002543,4.524
gamma1_watch,-0.002539,4.524
gamma1_watch,-0.002536,4.524
gamma1_watch,-0.002533,4.524
gamma1_watch,-0.002530,4.524
gamma1_watch,-0.002527,4.524
gamma1_watch,-0.002523,4.524
gamma1_watch,-0.002520,4.524
gamma1_watch,-0.002517,4.524
gamma1_watch,-0.002514,4.524
gamma1_watch,-0.002510,4.524
gamma1_watch,-0.002507,4.524
gamma1_watch,-0.002504,4.524
gamma1_watch,-0.002501,4.524
gamma1_watch,-0.002498,4.524
gamma1_watch,-0.002494,4.524
gamma1_watch,-0.002491,4.524
gamma1_watch,-0.002488,4.524
gamma1_watch,-0.002485,4.524
gamma1_watch,-0.002482,4.524
gamma1_watch,-0.002478,4.524
gamma1_watch,-0.002475,4.691
gamma1_watch,-0.002472,4.857
gamma1_watch,-0.002469,4.857
gamma1_watch,-0.002465,4.857
gamma1_watch,-0.002462,5.023
gamma1_watch,-0.002459,5.190
gamma1_watch,-0.002456,5.190
gamma1_watch,-0.002453,5.190
gamma1_watch,-0.002449,5.190
gamma1_watch,-0.002446,5.356
gamma1_watch,-0.002443,5.522
gamma1_watch,-0.002440,5.689
gamma1_watch,-0.002437,5.855
gamma1_watch,-0.002433,5.855
gamma1_watch,-0.002430,5.855
gamma1_watch,-0.002427,6.021
gamma1_watch,-0.002424,6.188
gamma1_watch,-0.002420,6.188
gamma1_watch,-0.002417,6.354
gamma1_watch,-0.002414,6.520
gamma1_watch,-0.002411,6.520
gamma1_watch,-0.002408,6.687
gamma1_watch,-0.002404,6.853
gamma1_watch,-0.002401,6.853
gamma1_watch,-0.002398,7.019
gamma1_watch,-0.002395,7.352
gamma1_watch,-0.002392,7.518
gamma1_watch,-0.002388,7.518
gamma1_watch,-0.002385,7.518
gamma1_watch,-0.002382,7.518
gamma1_watch,-0.002379,7.685
gamma1_watch,-0.002375,7.851
gamma1_watch,-0.002372,7.851
gamma1_watch,-0.002369,8.184
gamma1_watch,-0.002366,8.184
gamma1_watch,-0.002363,8.516
gamma1_watch,-0.002359,8.516
gamma1_watch,-0.002356,8.516
gamma1_watch,-0.002353,8.683
gamma1_watch,-0.002350,8.849
gamma1_watch,-0.002346,8.849
gamma1_watch,-0.002343,9.015
gamma1_watch,-0.002340,9.182
gamma1_watch,-0.002337,9.348
gamma1_watch,-0.002334,9.514
gamma1_watch,-0.002330,9.681
gamma1_watch,-0.002327,9.847
gamma1_watch,-0.002324,10.013
gamma1_watch,-0.002321,10.180
gamma1_watch,-0.002318,10.180
gamma1_watch,-0.002314,10.346
gamma1_watch,-0.002311,10.512
gamma1_watch,-0.002308,10.679
gamma1_watch,-0.002305,10.845
gamma1_watch,-0.002301,11.011
gamma1_watch,-0.002298,11.178
gamma1_watch,-0.002295,11.344
gamma1_watch,-0.002292,11.510
gamma1_watch,-0.002289,11.677
gamma1_watch,-0.002285,11.843
gamma1_watch,-0.002282,12.009
gamma1_watch,-0.002279,12.176
gamma1_watch,-0.002276,12.342
gamma1_watch,-0.002273,12.508
gamma1_watch,-0.002269,12.675
gamma1_watch,-0.002266,12.841
gamma1_watch,-0.002263,13.007
gamma1_watch,-0.002260,13.174
gamma1_watch,-0.002256,13.506
gamma1_watch,-0.002253,13.506
gamma1_watch,-0.002250,13.673
gamma1_watch,-0.002247,13.839
gamma1_watch,-0.002244,14.005
gamma1_watch,-0.002240,14.504
gamma1_watch,-0.002237,14.837
gamma1_watch,-0.002234,14.837
gamma1_watch,-0.002231,14.837
gamma1_watch,-0.002228,15.003
gamma1_watch,-0.002224,15.336
gamma1_watch,-0.002221,15.502
gamma1_watch,-0.002218,15.669
gamma1_watch,-0.002215,15.835
gamma1_watch,-0.002211,16.001
gamma1_watch,-0.002208,16.334
gamma1_watch,-0.002205,16.500
gamma1_watch,-0.002202,16.667
gamma1_watch,-0.002199,16.999
gamma1_watch,-0.002195,17.166
gamma1_watch,-0.002192,17.332
gamma1_watch,-0.002189,17.831
gamma1_watch,-0.002186,17.997
gamma1_watch,-0.002183,18.164
gamma1_watch,-0.002179,18.330
gamma1_watch,-0.002176,18.496
gamma1_watch,-0.002173,18.663
gamma1_watch,-0.002170,18.995
gamma1_watch,-0.002166,19.328
gamma1_watch,-0.002163,19.494
gamma1_watch,-0.002160,19.661
gamma1_watch,-0.002157,19.993
gamma1_watch,-0.002154,20.326
gamma1_watch,-0.002150,20.492
gamma1_watch,-0.002147,20.659
gamma1_watch,-0.002144,20.991
gamma1_watch,-0.002141,21.158
gamma1_watch,-0.002138,21.490
gamma1_watch,-0.002134,21.657
gamma1_watch,-0.002131,21.989
gamma1_watch,-0.002128,22.322
gamma1_watch,-0.002125,22.655
gamma1_watch,-0.002121,22.821
gamma1_watch,-0.002118,22.987
gamma1_watch,-0.002115,23.320
gamma1_watch,-0.002112,23.653
gamma1_watch,-0.002109,23.985
gamma1_watch,-0.002105,24.318
gamma1_watch,-0.002102,24.651
gamma1_watch,-0.002099,24.817
gamma1_watch,-0.002096,24.983
gamma1_watch,-0.002093,25.316
gamma1_watch,-0.002089,25.649
gamma1_watch,-0.002086,26.148
gamma1_watch,-0.002083,26.314
gamma1_watch,-0.002080,26.647
gamma1_watch,-0.002076,26.979
